id,description
0,this tremendous 100 varietal wine hails from oakville and was aged over three years in oak juicy red cherry fruit and a compelling hint of caramel greet the palate framed by elegant fine tannins and a subtle minty tone in the background balanced and rewarding from start to finish it has years ahead of it to develop further nuance enjoy 2022 2030 
1,ripe aromas of fig blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla this is full layered intense and cushioned on the palate with rich flavors of chocolaty black fruits and baking spices a toasty everlasting finish is heady but ideally balanced drink through 2023 
2,mac watson honors the memory of a wine once made by his mother in this tremendously delicious balanced and complex botrytised white dark gold in color it layers toasted hazelnut pear compote and orange peel flavors reveling in the succulence of its 122 g l of residual sugar 
3,this spent 20 months in 30 new french oak and incorporates fruit from ponzi s aurora abetina and madrona vineyards among others aromatic dense and toasty it deftly blends aromas and flavors of toast cigar box blackberry black cherry coffee and graphite tannins are polished to a fine sheen and frame a finish loaded with dark chocolate and espresso drink now through 2032 
4,this is the top wine from la b gude named after the highest point in the vineyard at 1200 feet it has structure density and considerable acidity that is still calming down with 18 months in wood the wine has developing an extra richness and concentration produced by the tari family formerly of ch teau giscours in margaux it is a wine made for aging drink from 2020 
5,deep dense and pure from the opening bell this toro is a winner aromas of dark ripe black fruits are cool and moderately oaked this feels massive on the palate but sensationally balanced flavors of blackberry coffee mocha and toasty oak finish spicy smooth and heady drink this exemplary toro through 2023 
6,slightly gritty black fruit aromas include a sweet note of pastry along with a hint of prune wall to wall saturation ensures that all corners of one s mouth are covered flavors of blackberry mocha and chocolate are highly impressive and expressive while this settles nicely on a long finish drink now through 2024 
7,lush cedary black fruit aromas are luxe and offer notes of marzipan and vanilla this bruiser is massive and tannic on the palate but still lush and friendly chocolate is a key flavor while baked berry and cassis flavors are hardly wallflowers on the finish this is tannic and deep as a sea trench drink this saturated black colored toro through 2023 
8,this re named vineyard was formerly bottled as delancellotti you ll find striking minerality underscoring chunky black fruits accents of citrus and graphite comingle with exceptional midpalate concentration this is a wine to cellar though it is already quite enjoyable drink now through 2030 
9,the producer sources from two blocks of the vineyard for this wine one at a high elevation which contributes bright acidity crunchy cranberry pomegranate and orange peel flavors surround silky succulent layers of texture that present as fleshy fruit that delicately lush flavor has considerable length 
